,msoa_code,name,ethnicity_white_2011,ethnicity_mixed_2011,ethnicity_asian_2011,ethnicity_black_2011,ethnicity_other_2011,ethnicity_bame_2011,perc_ethnicity_white_2011,perc_ethnicity_mixed_2011,perc_ethnicity_asian_2011,perc_ethnicity_black_2011,perc_ethnicity_other_2011,perc_ethnicity_bame_2011,uk_born_2011,not_uk_born_2011,perc_uk_born_2011,perc_not_uk_born_2011,language_has_not_+16_english_speaker_2011,language_has_not_+16_english_speaker_2011,perc_language_has_not_+16_english_speaker_2011,perc_language_has_not_+16_english_speaker_2011,religion_christian_2011,religion_buddhist_2011,religion_hindu_2011,religion_jewish_2011,religion_muslim_2011,religion_sikh_2011,religion_other_religion_2011,religion_no_religion_2011,religion_religion_not_stated_2011,perc_religion_christian_2011,perc_religion_buddhist_2011,perc_religion_hindu_2011,perc_religion_jewish_2011,perc_religion_muslim_2011,perc_religion_sikh_2011,perc_religion_other_religion_2011,perc_religion_no_religion_2011,perc_religion_religion_not_stated_2011,median_house_price_2005,median_house_price_2006,median_house_price_2007,median_house_price_2008,median_house_price_2009,median_house_price_2010,median_house_price_2011,median_house_price_2012,median_house_price_2013,sales_house_price_2005,sales_house_price_2006,sales_house_price_2007,sales_house_price_2008,sales_house_price_2009,sales_house_price_2010,sales_house_price_2011,sales_house_price_2011,sales_house_price_2013,qualification_no_qualification_2011,qualification_level_1_2011,qualification_level_2_2011,qualification_apprenticeship_2011,qualification_level_3_2011,qualification_level_4_2011,qualification_other_qualifications_2011,qualification_students_2011,economic_activity_active_total_2011,economic_activity_active_unemployed_2011,economic_activity_inactive_total_2011,perc_economic_activity_active_2011,unemployment_rate_2011,perc_economic_activity_inactive_total_2011
211,E02000213,Croydon 020,3182,800,2450,2805,314,6369,33.3,8.4,25.7,29.4,3.3,66.7,5237,4314,54.8,45.2,3386,774,81.4,18.6,4833,73,850,8,1474,32,47,1531,703,50.6,0.8,8.9,0.1,15.4,0.3,0.5,16.0,7.4,153000,162000,177500,182500,166000,152475,180000,170000,181250,186,227,163,84,57,62,83,89,88,1316,1059,984,132,741,2318,815,645,4900,548,2145,69.6,11.2,30.4
212,E02000214,Croydon 021,4192,396,780,783,85,2044,67.2,6.4,12.5,12.6,1.4,32.8,4828,1408,77.4,22.6,2171,150,93.5,6.5,3903,29,285,13,358,25,17,1191,415,62.6,0.5,4.6,0.2,5.7,0.4,0.3,19.1,6.7,249950,260000,282250,260000,249975,276500,270000,275000,303125,72,129,124,65,64,56,57,60,72,766,716,806,150,654,1666,313,246,3436,170,1193,74.2,4.9,25.8
213,E02000215,Croydon 022,5730,853,2177,1534,224,4788,54.5,8.1,20.7,14.6,2.1,45.5,6344,4174,60.3,39.7,4284,707,85.8,14.2,5113,90,833,31,819,25,85,2612,910,48.6,0.9,7.9,0.3,7.8,0.2,0.8,24.8,8.7,174000,178000,195000,209000,190000,200000,205000,198000,215000,240,311,322,139,132,119,115,116,139,1313,877,1044,116,903,3624,858,460,6236,456,1950,76.2,7.3,23.8
214,E02000216,Croydon 023,3315,257,2487,525,154,3423,49.2,3.8,36.9,7.8,2.3,50.8,3783,2955,56.1,43.9,2591,437,85.6,14.4,2826,70,1405,30,568,44,96,1151,548,41.9,1.0,20.9,0.4,8.4,0.7,1.4,17.1,8.1,245500,219500,242500,241500,210000,225000,231500,235500,229000,93,148,143,74,67,91,82,93,93,664,400,545,41,459,3028,444,228,3469,200,1414,71.0,5.8,29.0
215,E02000217,Croydon 024,5071,897,1533,1953,234,4617,52.3,9.3,15.8,20.2,2.4,47.7,6353,3335,65.6,34.4,3665,608,85.8,14.2,5350,109,620,13,795,35,43,2055,668,55.2,1.1,6.4,0.1,8.2,0.4,0.4,21.2,6.9,185000,179475,203000,209500,195000,202998,180648,195000,205000,172,236,213,142,87,232,138,106,189,1241,1016,1026,113,927,2501,749,470,5518,425,1735,76.1,7.7,23.9
216,E02000218,Croydon 025,3982,355,779,1420,104,2658,60.0,5.3,11.7,21.4,1.6,40.0,5066,1574,76.3,23.7,2151,218,90.8,9.2,3864,22,288,12,588,16,26,1293,531,58.2,0.3,4.3,0.2,8.9,0.2,0.4,19.5,8.0,266000,280000,315000,311000,275250,300000,314500,298500,327500,80,65,91,40,34,37,44,36,51,957,811,885,148,574,1246,299,289,3162,263,1383,69.6,8.3,30.4
217,E02000219,Croydon 026,5684,313,1054,573,62,2002,74.0,4.1,13.7,7.5,0.8,26.0,6339,1347,82.5,17.5,2897,102,96.6,3.4,4838,78,445,36,314,42,44,1303,586,62.9,1.0,5.8,0.5,4.1,0.5,0.6,17.0,7.6,312000,320000,329625,330000,300000,310000,308750,325000,335000,107,158,164,76,76,92,82,99,93,1080,877,1070,205,742,2134,352,272,3983,164,1658,70.6,4.1,29.4
218,E02000220,Croydon 027,5746,655,1750,1511,219,4135,58.2,6.6,17.7,15.3,2.2,41.8,6244,3637,63.2,36.8,4160,687,85.8,14.2,4938,117,681,21,652,36,66,2528,842,50.0,1.2,6.9,0.2,6.6,0.4,0.7,25.6,8.5,165000,167000,177500,179000,175000,185000,190000,181500,190000,256,303,315,149,211,155,142,148,207,1102,963,1087,106,888,3322,824,460,6066,439,1690,78.2,7.2,21.8
219,E02000221,Croydon 028,5288,710,1639,1950,233,4532,53.8,7.2,16.7,19.9,2.4,46.2,6910,2910,70.4,29.6,3444,422,89.1,10.9,5622,80,560,17,802,43,64,1985,647,57.3,0.8,5.7,0.2,8.2,0.4,0.7,20.2,6.6,198000,215000,219975,214750,195250,193500,215000,214250,236000,141,250,198,90,64,80,80,82,95,1590,1095,1079,136,831,2107,647,462,4854,377,2065,70.2,7.8,29.8
220,E02000222,Croydon 029,5460,495,1040,771,125,2431,69.2,6.3,13.2,9.8,1.6,30.8,6023,1868,76.3,23.7,3282,257,92.7,7.3,4313,70,359,13,391,42,66,2048,589,54.7,0.9,4.5,0.2,5.0,0.5,0.8,26.0,7.5,185000,199950,216500,225500,199950,214000,220000,208000,233000,215,271,248,155,104,121,131,123,165,779,730,867,118,755,2833,379,266,4669,273,1344,77.6,5.8,22.4
221,E02000223,Croydon 030,5159,660,347,2117,88,3212,61.6,7.9,4.1,25.3,1.1,38.4,6639,1732,79.3,20.7,2636,239,91.7,8.3,4353,17,70,9,504,12,18,2811,577,52.0,0.2,0.8,0.1,6.0,0.1,0.2,33.6,6.9,157250,163000,170000,180500,159500,151500,162000,164500,168250,38,66,67,20,25,28,23,20,18,1865,1001,955,90,544,717,411,381,3335,478,1928,63.4,14.3,36.6
222,E02000224,Croydon 031,5251,498,903,898,134,2433,68.3,6.5,11.8,11.7,1.7,31.7,5895,1789,76.7,23.3,3044,265,92.0,8.0,4244,79,349,10,370,21,48,1978,585,55.2,1.0,4.5,0.1,4.8,0.3,0.6,25.7,7.6,180000,190000,215000,220000,200000,203000,209500,220650,227500,184,230,257,119,103,115,98,109,102,744,777,958,123,789,2305,413,256,4505,274,1267,78.0,6.1,22.0
223,E02000225,Croydon 032,5851,296,270,1045,73,1684,77.7,3.9,3.6,13.9,1.0,22.3,6479,1056,86.0,14.0,2590,118,95.6,4.4,4313,35,56,12,214,13,30,2345,517,57.2,0.5,0.7,0.2,2.8,0.2,0.4,31.1,6.9,180500,180000,204000,195000,182000,197000,180000,185000,205000,68,93,133,37,37,36,36,51,61,1880,1020,870,199,551,780,354,238,3633,333,1587,69.6,9.2,30.4
224,E02000226,Croydon 033,5799,229,974,476,61,1740,76.9,3.0,12.9,6.3,0.8,23.1,6163,1376,81.7,18.3,2705,91,96.7,3.3,4737,52,371,16,363,27,46,1387,540,62.8,0.7,4.9,0.2,4.8,0.4,0.6,18.4,7.2,306000,308750,329975,330000,295000,335000,347500,326000,355000,100,130,102,61,63,59,72,89,80,885,912,1076,201,745,2152,325,243,4022,171,1595,71.6,4.3,28.4
225,E02000227,Croydon 034,9128,457,688,1020,118,2283,80.0,4.0,6.0,8.9,1.0,20.0,9809,1602,86.0,14.0,4704,147,97.0,3.0,6858,45,244,27,381,27,36,2946,847,60.1,0.4,2.1,0.2,3.3,0.2,0.3,25.8,7.4,189000,199000,217950,207000,196000,216500,190000,210000,215000,243,315,311,150,133,160,137,117,171,1692,1510,1714,286,1220,2322,414,326,6255,338,2180,74.2,5.4,25.8
226,E02000228,Croydon 035,6051,302,891,292,73,1558,79.5,4.0,11.7,3.8,1.0,20.5,6433,1176,84.5,15.5,2864,60,97.9,2.1,4853,43,353,25,230,31,15,1468,591,63.8,0.6,4.6,0.3,3.0,0.4,0.2,19.3,7.8,335000,348000,387000,405000,359000,396750,380000,400000,408759,136,142,147,75,75,100,80,108,131,702,673,1014,157,792,2652,283,208,3854,143,1593,70.8,3.7,29.2
227,E02000229,Croydon 036,4760,347,232,960,75,1614,74.7,5.4,3.6,15.1,1.2,25.3,5446,928,85.4,14.6,2300,113,95.3,4.7,3522,25,53,14,237,11,19,2043,450,55.3,0.4,0.8,0.2,3.7,0.2,0.3,32.1,7.1,172000,178000,192000,200000,175000,203250,185000,180750,196000,67,85,80,38,29,32,27,26,47,1764,821,727,118,454,522,279,229,2753,320,1465,65.3,11.6,34.7
228,E02000230,Croydon 037,6861,659,1559,798,168,3184,68.3,6.6,15.5,7.9,1.7,31.7,7640,2405,76.1,23.9,3755,249,93.8,6.2,5763,88,622,23,562,55,39,2160,733,57.4,0.9,6.2,0.2,5.6,0.5,0.4,21.5,7.3,249975,250000,269975,249000,246500,250000,250000,307500,310000,238,278,264,150,128,120,149,130,158,1065,865,1212,162,1009,3343,542,353,5334,268,2031,72.4,5.0,27.6
229,E02000231,Croydon 038,5184,355,1617,420,109,2501,67.5,4.6,21.0,5.5,1.4,32.5,6002,1683,78.1,21.9,2426,117,95.4,4.6,4254,107,713,21,537,84,49,1343,577,55.4,1.4,9.3,0.3,7.0,1.1,0.6,17.5,7.5,410000,455000,470000,456000,465000,485000,509750,532500,497500,94,133,149,82,72,87,86,68,100,792,620,1000,118,739,2683,296,291,3965,166,1655,70.6,4.2,29.4
230,E02000232,Croydon 039,5149,231,495,279,53,1058,83.0,3.7,8.0,4.5,0.9,17.0,5492,715,88.5,11.5,2259,65,97.2,2.8,3801,25,203,21,189,7,28,1510,423,61.2,0.4,3.3,0.3,3.0,0.1,0.5,24.3,6.8,264950,270000,307000,315250,250000,296000,295000,312375,317500,79,101,91,58,74,85,70,66,66,999,777,894,192,573,1331,217,166,3125,146,1277,71.0,4.7,29.0
231,E02000233,Croydon 040,4622,316,642,485,70,1513,75.3,5.2,10.5,7.9,1.1,24.7,5010,1125,81.7,18.3,2283,108,95.5,4.5,3580,56,220,11,243,6,30,1518,471,58.4,0.9,3.6,0.2,4.0,0.1,0.5,24.7,7.7,217500,232000,250000,250000,230000,261000,249950,250000,268500,116,165,156,73,103,83,78,93,99,760,642,808,118,563,1652,262,173,3162,203,1139,73.5,6.4,26.5
232,E02000234,Croydon 041,5915,498,860,629,121,2108,73.7,6.2,10.7,7.8,1.5,26.3,6529,1494,81.4,18.6,3021,140,95.6,4.4,4844,56,306,26,338,22,45,1764,622,60.4,0.7,3.8,0.3,4.2,0.3,0.6,22.0,7.8,220000,240000,273500,250000,265850,250000,249975,300000,304000,144,227,158,86,79,97,92,99,98,990,895,1070,160,773,2167,313,253,4274,258,1584,73.0,6.0,27.0
233,E02000235,Croydon 042,5667,274,538,400,89,1301,81.3,3.9,7.7,5.7,1.3,18.7,5932,1036,85.1,14.9,2619,75,97.2,2.8,4268,37,230,29,216,14,31,1626,517,61.3,0.5,3.3,0.4,3.1,0.2,0.4,23.3,7.4,272000,290000,317500,316875,275000,307000,313000,300000,316000,127,149,148,56,75,84,81,82,92,781,743,990,144,655,1973,216,176,3738,194,1274,74.6,5.2,25.4
234,E02000236,Croydon 043,6443,313,535,317,51,1216,84.1,4.1,7.0,4.1,0.7,15.9,6762,897,88.3,11.7,2801,37,98.7,1.3,4746,36,195,9,145,14,38,1832,644,62.0,0.5,2.5,0.1,1.9,0.2,0.5,23.9,8.4,242000,267500,310000,300000,250000,300000,270000,315000,333462,113,183,156,83,69,88,78,103,86,913,927,1061,184,770,1926,255,207,4150,185,1445,74.2,4.5,25.8
235,E02000237,Croydon 044,6432,350,324,323,46,1043,86.0,4.7,4.3,4.3,0.6,14.0,6673,802,89.3,10.7,3040,50,98.4,1.6,5009,31,134,7,113,8,13,1600,560,67.0,0.4,1.8,0.1,1.5,0.1,0.2,21.4,7.5,246000,270000,295000,300000,260000,291000,272000,307500,320975,101,168,146,76,64,100,105,82,82,1252,914,1053,196,728,1682,279,165,3682,209,1537,70.5,5.7,29.5
236,E02006788,Croydon 045,3773,692,617,2313,125,3747,50.2,9.2,8.2,30.8,1.7,49.8,5648,1872,75.1,24.9,2696,207,92.9,7.1,4537,36,183,2,424,19,46,1627,646,60.3,0.5,2.4,0.0,5.6,0.3,0.6,21.6,8.6,187500,205000,227500,231500,190000,205000,200000,214300,230000,113,139,139,74,51,52,53,60,66,1192,931,931,134,640,1385,377,405,3848,335,1464,72.4,8.7,27.6
237,E02000238,Ealing 001,4533,354,2925,1294,394,4967,47.7,3.7,30.8,13.6,4.1,52.3,4883,4617,51.4,48.6,2344,835,73.7,26.3,4855,116,1527,11,1210,183,41,972,585,51.1,1.2,16.1,0.1,12.7,1.9,0.4,10.2,6.2,227500,224500,249950,247500,240000,252500,250000,250000,275000,121,164,171,97,61,86,75,65,61,1392,948,916,135,669,2012,1296,462,5114,348,1902,72.9,6.8,27.1
238,E02000239,Ealing 002,3742,271,3695,835,457,5258,41.6,3.0,41.1,9.3,5.1,58.4,4073,4927,45.3,54.7,2109,815,72.1,27.9,4024,209,1810,9,1420,228,96,672,532,44.7,2.3,20.1,0.1,15.8,2.5,1.1,7.5,5.9,250000,250000,290000,295000,240000,265000,277500,300000,320000,90,121,97,57,53,65,54,54,67,1074,740,794,135,785,2412,1380,481,5073,317,1717,74.7,6.2,25.3
239,E02000240,Ealing 003,4844,494,2616,1776,535,5421,47.2,4.8,25.5,17.3,5.2,52.8,5870,4395,57.2,42.8,2887,883,76.6,23.4,5141,216,949,8,1546,214,40,1448,703,50.1,2.1,9.2,0.1,15.1,2.1,0.4,14.1,6.8,189000,195000,210000,226000,214000,238975,205000,249000,240000,157,192,192,84,71,84,87,82,76,1800,1058,1013,153,724,1795,1139,504,4952,446,2233,68.9,9.0,31.1
240,E02000241,Ealing 004,3396,223,1945,791,284,3243,51.2,3.4,29.3,11.9,4.3,48.8,3552,3087,53.5,46.5,1774,592,75.0,25.0,3494,127,804,12,878,147,17,758,402,52.6,1.9,12.1,0.2,13.2,2.2,0.3,11.4,6.1,224950,228250,248000,250000,225000,240000,250000,253500,270000,99,150,133,65,51,75,49,60,56,933,681,664,141,534,1613,735,331,3604,228,1341,72.9,6.3,27.1
241,E02000242,Ealing 005,2462,252,3002,474,573,4301,36.4,3.7,44.4,7.0,8.5,63.6,2798,3965,41.4,58.6,1389,762,64.6,35.4,2746,111,1675,10,1179,176,42,428,396,40.6,1.6,24.8,0.1,17.4,2.6,0.6,6.3,5.9,231500,250000,280000,275000,250000,260500,270000,289000,310000,78,96,71,43,38,46,46,31,45,952,577,579,95,473,1578,1098,401,3618,255,1435,71.6,7.0,28.4
242,E02000243,Ealing 006,4166,360,2325,1058,600,4343,49.0,4.2,27.3,12.4,7.1,51.0,4211,4298,49.5,50.5,2253,815,73.4,26.6,4524,98,815,22,1301,274,55,827,593,53.2,1.2,9.6,0.3,15.3,3.2,0.6,9.7,7.0,212500,212500,240000,224475,235000,250000,250000,230000,270000,125,152,127,56,37,62,54,55,69,1264,771,785,112,644,1977,1241,425,4558,337,1768,72.1,7.4,27.9
243,E02000244,Ealing 007,3863,281,1645,606,777,3309,53.9,3.9,22.9,8.4,10.8,46.1,3238,3934,45.1,54.9,1844,814,69.4,30.6,3923,59,519,6,1183,150,41,695,596,54.7,0.8,7.2,0.1,16.5,2.1,0.6,9.7,8.3,243000,236475,255000,250000,243000,250000,250000,274000,296000,89,160,215,61,55,57,69,76,63,928,563,628,108,470,1904,1161,281,3983,224,1440,73.4,5.6,26.6
244,E02000245,Ealing 008,3548,464,2063,1670,411,4608,43.5,5.7,25.3,20.5,5.0,56.5,4650,3506,57.0,43.0,2422,788,75.5,24.5,3958,52,550,5,1602,342,26,1001,620,48.5,0.6,6.7,0.1,19.6,4.2,0.3,12.3,7.6,154000,161500,169500,182500,175000,169500,175000,189000,207225,133,154,118,99,46,66,45,79,66,1539,878,790,108,553,1378,813,438,3841,440,1865,67.3,11.5,32.7
245,E02000246,Ealing 009,3977,483,2078,1657,553,4771,45.5,5.5,23.8,18.9,6.3,54.5,5284,3464,60.4,39.6,2369,702,77.1,22.9,4237,110,634,19,1648,403,40,1072,585,48.4,1.3,7.2,0.2,18.8,4.6,0.5,12.3,6.7,169500,175500,230000,200000,220000,232500,240000,228500,240000,106,134,166,66,44,66,54,56,57,1668,968,905,130,631,1305,842,506,4028,431,1995,66.9,10.7,33.1
246,E02000247,Ealing 010,4347,571,3050,1697,643,5961,42.2,5.5,29.6,16.5,6.2,57.8,5435,4873,52.7,47.3,2778,977,74.0,26.0,4880,114,909,21,2027,605,27,1031,694,47.3,1.1,8.8,0.2,19.7,5.9,0.3,10.0,6.7,187950,204000,198898,199950,169950,185000,190000,197500,205000,271,195,254,97,88,85,79,68,75,1713,1005,926,153,757,2014,1214,554,4982,438,2203,69.3,8.8,30.7
247,E02000248,Ealing 011,3889,321,1738,428,958,3445,53.0,4.4,23.7,5.8,13.1,47.0,2944,4390,40.1,59.9,1951,951,67.2,32.8,3491,179,434,46,1394,128,56,1044,562,47.6,2.4,5.9,0.6,19.0,1.7,0.8,14.2,7.7,255000,250000,288975,350500,248000,285000,256000,310000,322750,102,179,158,78,49,59,61,77,86,670,440,508,69,514,2613,1191,398,4109,255,1477,73.6,6.2,26.4
248,E02000249,Ealing 012,3471,301,2473,896,580,4250,45.0,3.9,32.0,11.6,7.5,55.0,3774,3947,48.9,51.1,1931,808,70.5,29.5,3809,70,864,12,1279,534,46,653,454,49.3,0.9,11.2,0.2,16.6,6.9,0.6,8.5,5.9,237000,243750,240000,249950,243750,250000,245000,263750,272500,77,136,106,83,44,67,51,54,60,1270,687,734,115,581,1682,1040,467,4005,303,1638,71.0,7.6,29.0
249,E02000250,Ealing 013,4916,304,768,163,336,1571,75.8,4.7,11.8,2.5,5.2,24.2,4332,2155,66.8,33.2,2237,304,88.0,12.0,3631,83,179,64,465,78,26,1425,536,56.0,1.3,2.8,1.0,7.2,1.2,0.4,22.0,8.3,368500,395000,463625,473750,405959,499950,470000,550000,574500,116,171,136,56,64,74,93,87,88,354,315,494,61,453,3050,414,245,3440,140,1248,73.4,4.1,26.6
250,E02000251,Ealing 014,2219,280,4096,850,499,5725,27.9,3.5,51.6,10.7,6.3,72.1,3543,4401,44.6,55.4,1732,710,70.9,29.1,2785,63,1363,11,1463,1472,13,384,390,35.1,0.8,17.2,0.1,18.4,18.5,0.2,4.8,4.9,230000,235000,263000,250000,235000,250000,250000,260000,270000,96,107,118,44,41,39,45,42,57,1157,750,813,96,666,1659,1162,521,4224,318,1707,71.2,7.5,28.8
251,E02000252,Ealing 015,4741,675,1655,1711,924,4965,48.8,7.0,17.1,17.6,9.5,51.2,4368,5338,45.0,55.0,2726,991,73.3,26.7,4695,163,435,23,1944,174,64,1462,746,48.4,1.7,4.5,0.2,20.0,1.8,0.7,15.1,7.7,192000,240950,249950,288750,247250,230000,245000,249975,247000,125,422,180,70,52,60,93,64,113,1288,725,761,161,729,2857,1389,865,5445,471,2107,72.1,8.7,27.9
252,E02000253,Ealing 016,5271,588,1666,1469,638,4361,54.7,6.1,17.3,15.3,6.6,45.3,5448,4184,56.6,43.4,2865,879,76.5,23.5,5248,81,459,21,1492,296,47,1307,681,54.5,0.8,4.8,0.2,15.5,3.1,0.5,13.6,7.1,221000,233000,250000,255000,239250,267250,257500,275000,303000,150,172,142,64,62,70,72,51,81,1717,837,919,137,703,1930,1128,496,4532,409,2263,66.7,9.0,33.3
253,E02000254,Ealing 017,1129,231,6447,581,561,7820,12.6,2.6,72.0,6.5,6.3,87.4,3935,5014,44.0,56.0,1698,789,68.3,31.7,1494,33,2091,3,1567,2948,80,302,431,16.7,0.4,23.4,0.0,17.5,32.9,0.9,3.4,4.8,215000,220000,240000,249975,221500,220000,240000,247475,257000,71,81,81,40,26,29,35,26,27,1471,963,802,86,724,1773,1348,671,4592,358,2122,68.4,7.8,31.6
254,E02000255,Ealing 018,5821,493,1388,1179,584,3644,61.5,5.2,14.7,12.5,6.2,38.5,5648,3817,59.7,40.3,2941,681,81.2,18.8,4596,100,381,66,1467,211,46,1868,730,48.6,1.1,4.0,0.7,15.5,2.2,0.5,19.7,7.7,285000,335000,305000,337500,360500,315000,390000,355000,452500,131,183,159,105,98,93,77,111,84,929,615,763,85,808,3411,799,496,4828,335,2049,70.2,6.9,29.8
255,E02000256,Ealing 019,6128,478,1408,444,403,2733,69.2,5.4,15.9,5.0,4.5,30.8,5011,3850,56.6,43.4,3027,755,80.0,20.0,4574,128,344,56,655,173,58,2175,698,51.6,1.4,3.9,0.6,7.4,2.0,0.7,24.5,7.9,270000,291500,310250,329975,393500,318000,340000,316000,376500,123,255,278,114,67,126,108,102,126,540,380,628,70,737,4251,832,456,5228,268,1682,75.7,5.1,24.3
256,E02000257,Ealing 020,8470,654,2962,661,762,5039,62.7,4.8,21.9,4.9,5.6,37.3,6841,6668,50.6,49.4,4581,1292,78.0,22.0,6075,455,482,121,1352,289,84,3541,1110,45.0,3.4,3.6,0.9,10.0,2.1,0.6,26.2,8.2,272500,292000,343250,339975,300000,324000,350000,340000,457871,228,287,290,96,109,142,133,207,270,875,565,847,99,981,6630,1452,668,7999,418,2671,75.0,5.2,25.0
257,E02000258,Ealing 021,3967,328,1164,656,615,2763,58.9,4.9,17.3,9.7,9.1,41.1,3397,3333,50.5,49.5,1903,641,74.8,25.2,3291,213,136,25,1077,55,14,1429,490,48.9,3.2,2.0,0.4,16.0,0.8,0.2,21.2,7.3,265000,335000,375000,340000,397500,332500,350000,420000,425000,105,94,111,37,36,74,47,55,68,695,447,576,72,563,2176,833,476,3565,241,1476,70.7,6.8,29.3
258,E02000259,Ealing 022,4347,347,849,509,224,1929,69.3,5.5,13.5,8.1,3.6,30.7,3812,2464,60.7,39.3,1868,415,81.8,18.2,3672,35,203,15,547,111,18,1226,449,58.5,0.6,3.2,0.2,8.7,1.8,0.3,19.5,7.2,220000,253125,305000,295000,299500,313000,330000,333000,389950,101,116,105,49,42,75,62,73,60,641,416,565,90,527,2072,629,288,3571,182,1084,76.7,5.1,23.3
259,E02000260,Ealing 023,832,180,6523,726,449,7878,9.6,2.1,74.9,8.3,5.2,90.4,3434,5276,39.4,60.6,1547,921,62.7,37.3,1411,55,1829,4,1751,2852,81,273,454,16.2,0.6,21.0,0.0,20.1,32.7,0.9,3.1,5.2,169000,207000,242500,233250,202500,248000,247500,240000,180000,52,59,84,32,24,25,26,21,21,1517,849,703,69,649,1841,1347,732,4219,372,2315,64.6,8.8,35.4
260,E02000261,Ealing 024,5481,547,1815,1549,1374,5285,50.9,5.1,16.9,14.4,12.8,49.1,5059,5707,47.0,53.0,3063,1047,74.5,25.5,4984,140,293,27,2608,65,46,1798,805,46.3,1.3,2.7,0.3,24.2,0.6,0.4,16.7,7.5,243125,263750,295000,352000,285000,281500,315000,326200,375000,110,238,334,131,88,164,113,226,172,1272,762,813,126,875,3333,1421,951,5793,414,2321,71.4,7.1,28.6
261,E02000262,Ealing 025,5609,482,1216,972,646,3316,62.8,5.4,13.6,10.9,7.2,37.2,4626,4299,51.8,48.2,2857,914,75.8,24.2,4271,135,182,39,1395,91,46,1997,769,47.9,1.5,2.0,0.4,15.6,1.0,0.5,22.4,8.6,239500,247500,266250,286000,250000,310000,325000,342500,343000,158,219,188,68,63,111,119,108,133,1081,544,694,82,695,3076,1122,532,5096,358,1754,74.4,7.0,25.6
262,E02000263,Ealing 026,714,213,9462,795,453,10923,6.1,1.8,81.3,6.8,3.9,93.9,4184,7453,36.0,64.0,1786,1369,56.6,43.4,1344,47,2768,5,3094,3572,123,214,470,11.5,0.4,23.8,0.0,26.6,30.7,1.1,1.8,4.0,220000,220000,231000,242000,220000,235000,231000,230000,250000,95,94,110,40,37,54,36,34,26,2214,1196,965,74,827,2026,1897,1102,5494,523,3151,63.6,9.5,36.4
263,E02000264,Ealing 027,5397,387,1385,384,550,2706,66.6,4.8,17.1,4.7,6.8,33.4,4193,3910,51.7,48.3,2521,684,78.7,21.3,3929,163,261,58,884,158,36,1964,650,48.5,2.0,3.2,0.7,10.9,1.9,0.4,24.2,8.0,282000,320000,352000,314000,302500,310000,360000,325475,480000,111,174,153,59,72,95,133,134,108,608,416,581,75,680,3534,922,447,4769,238,1531,75.7,5.0,24.3
264,E02000265,Ealing 028,6861,564,1887,1278,529,4258,61.7,5.1,17.0,11.5,4.8,38.3,6224,4895,56.0,44.0,3733,1014,78.6,21.4,5485,117,370,26,1579,283,56,2399,804,49.3,1.1,3.3,0.2,14.2,2.5,0.5,21.6,7.2,239949,248788,305000,301500,250000,293750,316000,330500,340000,221,240,291,116,89,124,117,130,171,1336,730,878,134,860,3912,1219,566,6397,465,2219,74.2,7.3,25.8
265,E02000266,Ealing 029,2800,573,5393,2834,731,9531,22.7,4.6,43.7,23.0,5.9,77.3,6258,6073,50.8,49.2,2551,1160,68.7,31.3,3689,87,1255,13,3579,2084,84,839,701,29.9,0.7,10.2,0.1,29.0,16.9,0.7,6.8,5.7,175000,204500,215000,227500,210000,205000,170500,237500,240000,113,98,97,39,29,47,36,32,47,2256,1280,1225,120,955,2215,1351,791,5451,717,3432,61.4,13.2,38.6
266,E02000267,Ealing 030,4940,356,857,547,226,1986,71.3,5.1,12.4,7.9,3.3,28.7,4267,2659,61.6,38.4,2314,533,81.3,18.7,3847,73,200,35,572,106,34,1553,506,55.5,1.1,2.9,0.5,8.3,1.5,0.5,22.4,7.3,249000,250000,272500,299250,275000,292500,340000,335000,342500,155,232,178,74,77,90,108,99,139,758,525,600,73,569,2324,691,319,4058,248,1189,77.3,6.1,22.7
267,E02000268,Ealing 031,6843,484,1099,634,298,2515,73.1,5.2,11.7,6.8,3.2,26.9,5787,3571,61.8,38.2,3268,556,85.5,14.5,4924,87,267,58,703,123,45,2375,776,52.6,0.9,2.9,0.6,7.5,1.3,0.5,25.4,8.3,334000,314500,360000,340000,415000,373500,390000,469250,495000,163,211,201,77,91,90,114,106,119,1001,547,676,106,679,3934,840,474,5491,365,1810,75.2,6.6,24.8
268,E02000269,Ealing 032,6191,431,956,290,210,1887,76.6,5.3,11.8,3.6,2.6,23.4,5314,2764,65.8,34.2,2834,411,87.3,12.7,4102,81,260,47,370,168,31,2369,650,50.8,1.0,3.2,0.6,4.6,2.1,0.4,29.3,8.0,320000,340500,403000,400000,383500,434000,428000,475500,440000,175,202,174,65,112,144,120,120,99,529,360,577,90,626,3802,589,359,4899,194,1281,79.3,4.0,20.7
269,E02000270,Ealing 033,3863,427,1218,1905,630,4180,48.0,5.3,15.1,23.7,7.8,52.0,3948,4095,49.1,50.9,2339,992,70.2,29.8,3776,96,199,14,2024,89,28,1254,563,46.9,1.2,2.5,0.2,25.2,1.1,0.3,15.6,7.0,217999,249000,250000,250000,249950,230000,260000,325000,350000,99,125,126,49,49,79,71,71,126,1211,683,619,76,637,1997,916,495,3947,403,1862,67.9,10.2,32.1
